index,authors,title,reference,reference_detail,month,month_num,year,type,selected,research,dataset,hidden,link1,link1_name,link2,link2_name
001,"J. Fu, I. V. Bajić, and R. G. Vaughan",Datasets for face and object detection in fisheye images,Data in Brief,"vol. 27, article no. 104752",Dec.,12,2019,j,,,1,,https://doi.org/10.1016/j.dib.2019.104752,DOI,http://dx.doi.org/10.25314/ca0092b1-1e87-4928-b5f5-ebae30decb8d,data
002,"J. Fu, I. V. Bajić, and R. G. Vaughan",Datasets for face and object detection in fisheye images,Data in Brief,"vol. 27, article no. 104752",Dec.,12,2019,j,,,2,1,https://doi.org/10.1016/j.dib.2019.104752,DOI,https://researchdata.sfu.ca/pydio_public/c09804,data
003,,SFU students' AI solution shields against video voyeurs,,,Jul,7,2019,n,1,,,1,https://www.sfu.ca/sfunews/stories/2019/07/sfu-students-ai-solution-shields-against-video-voyeurs.html,SFU News,,
004,,Shutting down online surveillance,,,,7,2019,n,1,,,1,https://www.cbc.ca/listen/live-radio/1-81-airplay/clip/15727082-shutting-down-online-surveillance,CBC Radio,,
005,H. Choi and I. V. Bajić,Deep frame prediction for video coding,IEEE Trans. Circuits and Systems for Video Technology,accepted.,Jun,6,2019,j,1,4,,,https://arxiv.org/abs/1901.00062,arXiv,,
006,"J. Zhang, A. Wang, J. Liang, H. Wang, S. Li, and X. Zhang",Distortion Estimation-based Adaptive Power Allocation for Hybrid Digital-Analog Video Transmission,IEEE Trans. Circuits and Systems for Video Technology,"vol. 29, no. 6, pp. 1806-1818",Jun,6,2019,j,1,2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8399881,IEEEXplore,,
007,"X. Shang, J. Liang, G. Wang, H. Zhao, C. Wu, and C. Lin",Color-Sensitivity-based Combined PSNR for Objective Video Quality Assessment,IEEE Trans. Circuits and Systems for Video Technology,"vol. 29, no. 5, pp. 1239-1250",May,5,2019,j,,3,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8359309,IEEEXplore,,
008,"J. Jin, J. Liang, Y. Zhao, C. Lin, C. Yao, and A. Wang",A Depth-Bin-Based Graphical Model for Fast View Synthesis Distortion Estimation,IEEE Trans. Circuits and Systems for Video Technology,"vol. 29, no. 6, pp. 1754-1766",Jun,6,2019,j,1,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8374888,IEEEXplore,,
009,"J. Jin, J. Liang, Y. Zhao, C. Lin, C. Yao, and L. Meng",Pixel-Level View Synthesis Distortion Estimation for 3-D Video Coding,IEEE Trans. Circuits and Systems for Video Technology,accepted.,May,5,2019,j,,,,,,,,
010,"M. Gaur, S. Makonin, I. V. Bajić, and A. Majumdar",Performance evaluation of techniques for identifying abnormal energy consumption in buildings,IEEE Access,"vol. 7, pp. 62721-62733.",May,5,2019,j,,,,,https://ieeexplore.ieee.org/document/8709671,IEEEXplore,,
011,"M. Li, O. Alhussein, P. Sofotasios, S. Muhaidat, P. Yoo, J. Liang, and A. Wang",Censor-based cooperative multi-antenna spectrum sensing with imperfect reporting channels,IEEE Trans. Sustainable Computing,accepted.,Jan,1,2019,j,,,,,https://ieeexplore.ieee.org/document/8651354,IEEEXplore,,
012,"C. Dinesh, S. Makonin, and I. V. Bajić",Residential power forecasting using load identification and graph spectral clustering,IEEE Trans. Circuits and Systems II: Express Briefs,"vol. 66, no. 11, pp. 1900-1904.",Nov.,11,2019,j,,,,,https://www.researchgate.net/publication/330184644_Residential_Power_Forecasting_Using_Load_Identification_and_Graph_Spectral_Clustering,ResearchGate,,
013,"H. Hadizadeh, A. R. Heravi, I. V. Bajić, and P. Karami",A perceptual distinguishability predictor for JND-noise-contaminated images,IEEE Trans. Image Processing,"vol. 28, no. 5, pp. 2242-2256.",May,5,2019,j,1,,,,https://ieeexplore.ieee.org/document/8556065,IEEEXplore,,
014,"X. Shang, G. Wang, X. Zhao, Y. Zuo, J. Liang, and I. V. Bajić",Weighting Quantization Matrices for HEVC/H.265-coded RGB Videos,IEEE Access,accepted.,Feb,2,2019,j,,,,,https://ieeexplore.ieee.org/document/8654588,IEEEXplore,,
015,"E. Ideli, B. Sharpe, I. V. Bajić, and R. G. Vaughan",Visually assisted time-domain speech enhancement,Proc. IEEE GlobalSIP'19,,Nov.,11,2019,c,,,,,,,,
016,"C. Dinesh, I. V. Bajić, and G. Cheung",3D point cloud color denoising using convex graph-signal smoothness priors,Proc. IEEE MMSP'19,,Sep,7,2019,c,,,,,https://ieeexplore.ieee.org/document/8901695,IEEEXplore,,
017,"B. Li, J. Liang, and Y. Wang",Compression Artifact Removal with Stacked Multi-Context Channel-wise Attention Network,Proc. IEEE ICIP'19,"pp. 3601-3605, Taipei, Taiwan,",Sep,9,2019,c,,,,,,,,
018,S. R. Alvar and I. V. Bajić,Multi-task learning with compressible features for collaborative intelligence,Proc. IEEE ICIP'19,"pp. 1705-1709, Taipei, Taiwan,",Sep,9,2019,c,,,,,https://arxiv.org/abs/1902.05179,arXiv,https://github.com/saeedranjbar12/mtlcfci,code
019,"C. Dinesh, I. V. Bajić, and G. Cheung",3D point cloud super-resolution via graph total variation on surface normals,Proc. IEEE ICIP'19,"pp. 4390-4394, Taipei, Taiwan,",Sep,9,2019,c,,,,,https://ieeexplore.ieee.org/document/8803560,IEEEXplore,,
020,"M. Akbari, J. Liang, and J. Han",DSSLIC: Deep Semantic Segmentation-based Layered Image Compression,Proc. IEEE ICASSP'19,"pp. 2042 - 2046, Brighton, UK.",May,5,2019,c,,4,,,https://arxiv.org/abs/1806.03348,arXiv,https://github.com/makbari7/DSSLIC,code
021,"A. Harell, S. Makonin, and I. V. Bajić",WaveNILM: A causal neural network for power disaggregation from the complex power signal,Proc. IEEE ICASSP'19,"pp. 8335 - 8339, Brighton, UK.",May,5,2019,c,,,,,https://arxiv.org/abs/1902.08736,arXiv,,
022,"J. Fu, S. R. Alvar, I. V. Bajić, and R. G. Vaughan",FDDB-360: Face detection in 360-degree fisheye images,Proc. IEEE MIPR'19,"pp. 15 - 19, San Jose, CA.",Mar,3,2019,c,,,3,,https://arxiv.org/abs/1902.02777,arXiv,https://researchdata.sfu.ca/pydio_public/98fb62,data
023,"C. Dinesh, I. V. Bajić, and G. Cheung",Adaptive nonrigid inpainting of 3D point cloud geometry,IEEE Signal Processing Letters,"vol. 25, no. 6, pp. 878-882.",Jun,6,2018,j,,1,,,https://www.researchgate.net/publication/324798026_Adaptive_Non-Rigid_Inpainting_of_3D_Point_Cloud_Geometry,ResearchGate,https://www.researchgate.net/publication/324797887_code,code
024,"J. Guo, X. Gong, J. Liang, W. Wang, and X. Que",An Optimized Hybrid Unicast/Multicast Adaptive Video Streaming Scheme over MBMS-Enabled Wireless Networks,IEEE Trans. Broadcasting,"vol. 64, no. 4, pp. 791-802.",Dec,12,2018,j,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8362668,IEEEXplore,,
025,H. Hadizadeh and I. V. Bajić,Full-reference objective quality assessment of tone-mapped images,IEEE Trans. Multimedia,"vol. 20, no. 2, pp. 392-404.",Feb,2,2018,j,,3,,,https://www.researchgate.net/publication/319067122_Full-Reference_Objective_Quality_Assessment_of_Tone-Mapped_Images,ResearchGate,,
026,"M. Akbari, J. Liang, and H. Cheng",A Real-time System for Online Learning-based Visual Transcription of Piano Music,Multimedia Tools and Applications,pp. 1-23. ,Feb,2,2018,j,,,,,https://link.springer.com/content/pdf/10.1007/s11042-018-5803-1.pdf,Springer,,
027,H. Choi and I. V. Bajić,Deep feature compression for collaborative object detection,Proc. IEEE ICIP'18,"Athens, Greece.",Oct,10,2018,c,,4,,,https://www.researchgate.net/publication/323141509_Deep_feature_compression_for_collaborative_object_detection,ResearchGate,,
028,"Y. Guo, A. Wang, H. Wang, S. Li, and J. Liang",Adaptive STBC Scheme for Soft Video Transmission with Multiple Antennas,Pacific-Rim Conference on Multimedia (PCM),"Hefei, Anhui, China.",Sep,9,2018,c,,,,,,,,
029,S. R. Alvar and I. V. Bajić,MV-YOLO: Motion vector-aided tracking by semantic object detection,Proc. IEEE MMSP'18,"Vancouver, Canada.",Aug,8,2018,c,,,,,https://www.researchgate.net/publication/324887113_MV-YOLO_Motion_Vector-aided_Tracking_by_Semantic_Object_Detection,ResearchGate,,
030,H. Choi and I. V. Bajić,Near-lossless deep feature compression for collaborative intelligence,Proc. IEEE MMSP'18,"Vancouver, Canada.",Aug,8,2018,c,,,,,https://www.researchgate.net/publication/324793106_Near-Lossless_Deep_Feature_Compression_for_Collaborative_Intelligence,ResearchGate,,
031,"L. Ye, B. Li, N. Mohammed","Y. Wang, and J. Liang, “Privacy-Preserving Age Estimation for Content Rating",Proc. IEEE MMSP'18,"Vancouver, Canada.",Aug,8,2018,c,,,,,,,,
032,"C. Dinesh, G. Cheung, I. V. Bajić, and C. Yang",Fast 3D point cloud denoising via bipartite graph approximation and total variation,Proc. IEEE MMSP'18,"Vancouver, Canada.",Aug,8,2018,c,,,,,https://www.researchgate.net/publication/324859968_Fast_3D_Point_Cloud_Denoising_via_Bipartite_Graph_Approximation_Total_Variation,ResearchGate,,
033,"S. R. Alvar, H. Choi, and I. V. Bajić",Can you find a face in a HEVC bitstream?,Proc. IEEE ICASSP'18,"pp. 1288-1292, Calgary, AB.",Apr,4,2018,c,,,,,https://www.researchgate.net/publication/323587628_Can_you_find_a_face_in_a_HEVC_bitstream,ResearchGate,,
034,M. Akbari and J. Liang,Semi-recurrent CNN-based VAE-GAN for sequential data generation,Proc. IEEE ICASSP'18,"Calgary, AB, Canada.",Apr,4,2018,c,,,,,,,,
035,"J. Zhang, A. Wang, and J. Liang",Recursive distortion estimation for hybrid digital-analog video transmission,IEEE ICASSP'18,"Calgary, AB, Canada.",Apr,4,2018,c,,,,,,,,
