index,name,link
00,Natural Sciences and Engineering Research Council of Canada,http://www.nserc-crsng.gc.ca/index_eng.asp
01,Canada Council for the Arts,https://canadacouncil.ca/
02,Simon Fraser University,http://www.sfu.ca/
03,Nokia,http://www.nokia.com/global/wayfinder
04,teradici,http://www.teradici.com/
05,Mitacs,http://www.mitacs.ca/
06,icorn,http://www.icron.com/
07,Broad Motion,http://www.broadmotion.com/
08,Broadband TV,http://broadbandtvcorp.com/
09,Dolby,http://www.dolby.com/index.html
10,BC Hydro,https://www.bchydro.com/index.html
11,MathWorks,https://www.mathworks.com/
12,Cisco,https://www.cisco.com
13,Rainforest Automation,https://rainforestautomation.com/
14,Broadcom,https://www.broadcom.com/
15,Singular Software,https://singsoftnext.com/
16,Electronic Arts,https://www.ea.com/en-ca
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
